feature,importance_mean,importance_std
K,0.03256305515572259,0.018638679217504957
Charge,0.029161094195754356,0.024286240820933076
I,0.01785940245683463,0.005269703861704665
G,0.014224347079494304,0.003099153507811399
Molecular_Weight,0.00600971673796552,0.00200611623942658
Isoelectric_Point,0.005753701729303795,0.019422780210524477
Y,0.0033290334294881043,0.0022218651331990307
D,0.00273449346439959,0.006148837788433299
Length,0.0027209964804624453,0.0014596926022715322
S,0.002694209012424409,0.005395904534063499
W,0.001896986875033191,0.007533323894637482
Flexibility,0.001706264769767818,0.005694739969067233
Turn,0.0017058609531850123,0.003629444751585056
Q,0.0013321646848328372,0.004588796725492854
Number_of_Disulfide_Bridges,0.0007041076083414754,0.000635819552819224
Number_of_Cysteines,0.0002525252525252375,0.0002525252525252819
C,0.0001467488084142099,0.0004626011716829632
N,-6.084240324796264e-05,0.0011692419793147466
A,-0.0004029149882274652,0.005691537578426299
L,-0.0004927701763904002,0.001716586658288122
F,-0.0009564298189171261,0.0006677054490094126
Helix,-0.0010580611388378625,0.0021519364702602575
T,-0.001071148838110636,0.0011301958151530853
R,-0.001444144808023562,0.003662403998416436
Hydrophobicity,-0.001836894478526374,0.0030050554806149944
Sheet,-0.002040954759340374,0.0033658909807219137
M,-0.0021465060407478533,0.001149954646021236
V,-0.0027214439442918457,0.001185049155629373
P,-0.0038427734214943167,0.004863348649967601
H,-0.005408717675108888,0.004184702270958305
E,-0.012031214643950228,0.0037792685428615293
