feature,mean_abs_shap
Charge,0.07975407023571794
Isoelectric_Point,0.074806564794979
I,0.03340868193812228
E,0.03252176637287937
K,0.030512257347928787
D,0.029911263758903333
Q,0.019585564870543363
S,0.015852052546835808
R,0.013166528134933698
Flexibility,0.011385378596502014
G,0.0112983849917999
Molecular_Weight,0.00849516635284212
T,0.008358096840920927
Helix,0.007203523746579072
W,0.007097638674811567
Length,0.006753582840180142
P,0.006468500236726825
H,0.005946963370149008
Hydrophobicity,0.005098074984618297
L,0.0049168829724376235
Y,0.004880336741660342
A,0.004701512163065751
V,0.004420891440039277
Turn,0.003025979999226545
N,0.002556791126833115
Sheet,0.00218307349038205
F,0.0017738368375045301
M,0.0017241748145557624
Number_of_Cysteines,0.0012856996859506023
Number_of_Disulfide_Bridges,0.0012214429953723183
C,0.0009575683006940121
