feature,importance_mean,importance_std
K,0.014959072154844776,0.008471971070529355
Charge,0.013983777007804588,0.006721234970119189
Isoelectric_Point,0.011420879865960066,0.004331541560540364
S,0.005170272171657342,0.0055979605817761055
Y,0.0034903047091412896,0.0021176193743619232
P,0.002119113573407272,0.0016069466720561223
Molecular_Weight,0.0018559556786704513,0.0017134257168079947
Q,0.0017669172932331168,0.0022601250296646336
Length,0.0015789473684211352,0.001289205127780642
G,0.0015789473684211242,0.0012892051277806785
N,0.0015789473684211242,0.0012892051277805653
A,0.0010526315789473716,0.001289205127780624
Helix,0.0010275689223058215,0.0016857315008321062
D,0.0007894736842106509,0.001205940972356772
Flexibility,0.0007894736842105288,0.0012059409723568038
F,0.0005263157894737525,0.001052631578947394
I,0.000526315789473708,0.0010526315789473886
Sheet,0.000526315789473708,0.0010526315789474163
E,0.00026315789473696505,0.0007894736842105621
T,0.0002631578947368984,0.0007894736842105103
R,0.0002631578947368984,0.0007894736842105103
Hydrophobicity,0.0002631578947368873,0.0007894736842104769
M,0.0002631578947368873,0.0007894736842105509
H,5.551115123125783e-17,8.95090418262362e-17
Turn,4.4408920985006264e-17,5.438959822042074e-17
V,2.2204460492503132e-17,6.66133814775094e-17
Number_of_Cysteines,0.0,0.0
C,0.0,0.0
Number_of_Disulfide_Bridges,0.0,0.0
L,0.0,0.0
W,0.0,0.0
