feature,mean_abs_shap
Charge,0.0690981974460942
Isoelectric_Point,0.06314597452914933
S,0.04506703510831314
K,0.041049182028207946
D,0.02748177748606416
E,0.018286175618992498
I,0.01380317706595534
Molecular_Weight,0.013414921625559295
P,0.012616548310051396
Flexibility,0.010791796479637262
W,0.009747600776890413
Q,0.009332317789770617
Y,0.00865398579402758
Turn,0.008465343681016868
Length,0.007394722194452511
N,0.0068384185790344495
R,0.0066050601257269855
F,0.0055885696099008085
G,0.0051841969461806445
T,0.005180618094472507
Helix,0.005036205640201318
L,0.004241829779181979
M,0.00354902680666387
C,0.003152208571939416
V,0.003027371586164747
A,0.0028593152445312315
Hydrophobicity,0.0022647019532389527
Number_of_Cysteines,0.002021050456202106
Number_of_Disulfide_Bridges,0.0018070370953314162
Sheet,0.0016875853378200542
H,0.00163398972378607
